student_id,study_hours,attendance,assignment_score,previous_score,maths,dbms,python,os,ml,current_score,performance_level,strongest_subject,weakest_subject,learning_recommendation,detailed_insight,predicted_score,predicted_performance
ST0001,11,66,64,59,79,65,94,89,46,69.96,Average,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Improve your attendance.,67.9145,Average
ST0002,8,58,44,45,95,77,79,59,61,51.22,Needs Improvement,maths,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Improve your attendance. Spend more time completing and practicing assignments.,54.62459999999998,Average
ST0003,17,82,50,61,67,40,60,51,56,61.19,Average,maths,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Spend more time completing and practicing assignments.,62.457199999999915,Average
ST0004,19,69,98,57,86,59,41,62,57,77.91,Good,maths,python,Improve attendance and give additional attention to python.,Focus more on PYTHON as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,76.07869999999996,Good
ST0005,15,62,73,47,78,94,76,43,88,68.46,Average,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,68.65720000000005,Average
ST0006,12,77,63,78,45,67,45,62,80,60.47,Average,ml,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject.,62.597400000000015,Average
ST0007,17,97,99,71,48,55,83,87,49,77.04,Good,os,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,77.1651,Good
ST0008,9,78,54,72,59,86,57,94,49,65.43,Average,os,ml,Increase study time and focus more on ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time. Spend more time completing and practicing assignments.,64.25730000000006,Average
ST0009,11,62,77,92,99,56,69,87,96,70.96,Average,maths,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Improve your attendance.,70.76110000000003,Average
ST0010,14,95,47,55,40,79,61,40,46,51.07,Needs Improvement,dbms,maths,Complete assignments regularly and practice more in maths.,Focus more on MATHS as it is your weakest subject. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,58.384399999999985,Average
ST0011,7,84,98,51,47,67,93,93,87,67.75,Average,python,maths,Increase study time and focus more on maths.,Focus more on MATHS as it is your weakest subject. Increase your weekly study time.,69.2318,Average
ST0012,11,55,44,77,94,97,72,64,100,66.33,Average,ml,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Improve your attendance. Spend more time completing and practicing assignments.,65.92979999999997,Average
ST0013,15,67,87,91,62,51,69,41,89,73.63,Average,ml,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,74.12130000000006,Average
ST0014,15,100,65,73,42,66,56,69,77,77.44,Good,ml,maths,Maintain your current performance and strengthen maths further.,Focus more on MATHS as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,75.69389999999987,Good
ST0015,12,54,57,100,43,93,82,42,66,66.68,Average,dbms,os,Improve attendance and give additional attention to os.,Focus more on OS as it is your weakest subject. Improve your attendance. Spend more time completing and practicing assignments.,66.10860000000002,Average
ST0016,9,96,45,53,97,92,71,97,91,70.43,Average,maths,python,Increase study time and focus more on python.,Focus more on PYTHON as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,69.51270000000005,Average
ST0017,8,74,76,75,64,81,81,60,72,71.03,Average,dbms,os,Increase study time and focus more on os.,Focus more on OS as it is your weakest subject. Increase your weekly study time.,69.42199999999997,Average
ST0018,12,51,99,72,86,98,90,64,40,71.8,Average,dbms,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Improve your attendance.,69.49070000000006,Average
ST0019,12,59,87,62,77,86,53,59,83,76.81,Good,dbms,python,Improve attendance and give additional attention to python.,Focus more on PYTHON as it is your weakest subject. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,74.04180000000012,Average
ST0020,7,79,52,89,54,69,97,88,92,62.95,Average,python,maths,Increase study time and focus more on maths.,Focus more on MATHS as it is your weakest subject. Increase your weekly study time. Spend more time completing and practicing assignments.,64.0608999999999,Average
ST0021,10,99,67,84,60,80,49,91,99,70.29,Average,ml,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject. Your attendance is good. Keep maintaining it.,69.36719999999998,Average
ST0022,9,94,44,41,74,73,86,61,73,64.0,Average,python,os,Increase study time and focus more on os.,Focus more on OS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it. Spend more time completing and practicing assignments.,63.503499999999995,Average
ST0023,6,54,52,80,96,76,99,60,43,65.1,Average,python,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Increase your weekly study time. Improve your attendance. Spend more time completing and practicing assignments.,62.903000000000056,Average
ST0024,12,82,56,60,92,45,90,100,56,67.71,Average,os,dbms,Complete assignments regularly and practice more in dbms.,Focus more on DBMS as it is your weakest subject. Spend more time completing and practicing assignments.,65.71809999999999,Average
ST0025,16,50,89,41,92,46,75,72,43,61.92,Average,maths,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,63.25390000000005,Average
ST0026,18,67,79,66,85,71,73,91,82,84.98,Good,os,dbms,Improve attendance and give additional attention to dbms.,Focus more on DBMS as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance. Overall performance is good. Focus on strengthening your weak areas.,76.32090000000007,Good
ST0027,10,81,84,96,91,71,48,77,93,72.58,Average,ml,python,Maintain your current performance and strengthen python further.,Focus more on PYTHON as it is your weakest subject.,72.98859999999996,Average
ST0028,6,96,71,48,53,92,81,100,65,66.98,Average,os,maths,Increase study time and focus more on maths.,Focus more on MATHS as it is your weakest subject. Increase your weekly study time. Your attendance is good. Keep maintaining it.,66.06269999999988,Average
ST0029,20,98,68,40,75,64,67,54,43,77.37,Good,maths,ml,Maintain your current performance and strengthen ml further.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Your attendance is good. Keep maintaining it. Overall performance is good. Focus on strengthening your weak areas.,75.30439999999994,Good
ST0030,16,60,90,50,51,72,50,97,40,65.93,Average,os,ml,Improve attendance and give additional attention to ml.,Focus more on ML as it is your weakest subject. Your study time is good. Maintain this consistency. Improve your attendance.,66.46440000000005,Average
